,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Total,,,,,,,,
,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,Pts,,,,,,,,
,Greek I ,,,,,,,,,,,,,,,,,,,,,Standings,,,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Team,Pts.,Teams Alive,69,"Means Nothing, points to top cell X7 only after sort happens",,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,Jan-Feb-Izzo III,69,0,,,,
9,Oklahoma,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,CMcGov,66,0,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,Greek I ,63,0,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,Swamp Izzo > Tom Izzo,62,0,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Faz/Bino I,61,0,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,Alex Aruri,60,0,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Hammermesh,58,0,,,,
9,Baylor,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,Money Mac,57,0,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Pat/Owen,57,0,,,,
,,,47,,,16,,,0,,,0,,,0,,,0,,63,,Alec Joyce,57,0,,,,
,,,,,,,,,,,,,,,,,,,,,,Slayton,56,0,,,,
,Greek II,,,,,,,,,,,,,,,,,,,,,Levy,56,1,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Rockies,53,0,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Geno,53,0,,,,
14,Lipscomb,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Gutkin,53,0,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Toolan/Gnieski I,52,0,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,Klayman,51,0,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Toolan/Gnieski II,51,0,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,B Cedorchuk,50,0,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Layman/Capas,48,0,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,Fare Game,48,0,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Entwistle,47,0,,,,
,,,16,,,16,,,0,,,0,,,0,,,0,,32,,RAM,46,0,,,,
,,,,,,,,,,,,,,,,,,,,,,Matt Toolan,46,0,,,,
,Klayman,,,,,,,,,,,,,,,,,,,,,Crow/Marks,45,0,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Arch Manning,45,0,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Jan-Feb-Izzo I,45,0,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,Gryboski,43,0,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,C Cedorchuk,42,0,,,,
3,Wisconsin,W,3,,L,0,,L,0,,L,0,,L,0,,L,0,,3,,Kingsley,41,0,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,Danny Wolf ,41,0,,,,
14,UNC Wilmington,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,Eyeball,40,0,,,,
