participant,seed,team
Greek0531-1,7,Miami (FL)
Greek0531-1,8,Ohio St.
Greek0531-1,9,Saint Louis
Greek0531-1,10,Texas A&M
Greek0531-1,11,VCU
Greek0531-1,11,Texas
Greek0531-1,11,Miami (OH)
Greek0531-1,13,Hawaii
Greek0531-1,8,Villanova
Greek0531-1,11,South Florida
Greek0531-2,3,Virginia
Greek0531-2,5,Wisconsin
Greek0531-2,7,Miami (FL)
Greek0531-2,10,UCF
Greek0531-2,10,Texas A&M
Greek0531-2,11,South Florida
Greek0531-2,11,Texas
Greek0531-2,11,VCU
Greek0531-2,12,Akron
Greek0531-2,13,Hawaii
Fergerburger,11,South Florida
Fergerburger,7,UCLA
Fergerburger,11,VCU
Fergerburger,7,Miami (FL)
Fergerburger,5,Vanderbilt
Fergerburger,8,Georgia
Fergerburger,10,Santa Clara
Fergerburger,4,Arkansas
Fergerburger,12,Akron
Fergerburger,6,BYU
Team Rockwells,5,St. John's
Team Rockwells,3,Michigan St.
Team Rockwells,7,UCLA
Team Rockwells,12,McNeese
Team Rockwells,11,VCU
Team Rockwells,5,Wisconsin
Team Rockwells,6,BYU
Team Rockwells,6,Tennessee
Team Rockwells,10,Santa Clara
Team Rockwells,4,Kansas
Cloniger,5,Wisconsin
Cloniger,8,Clemson
Cloniger,6,Louisville
Cloniger,7,Miami (FL)
Cloniger,12,Akron
Cloniger,5,Vanderbilt
Cloniger,14,Penn
Cloniger,6,North Carolina
Cloniger,10,UCF
Cloniger,11,Texas
FatherVictory,11,VCU
FatherVictory,11,Miami (OH)
FatherVictory,10,UCF
FatherVictory,10,Santa Clara
FatherVictory,9,Utah State
FatherVictory,9,Saint Louis
FatherVictory,5,St. John's
FatherVictory,5,Vanderbilt
FatherVictory,5,Texas Tech
FatherVictory,4,Arkansas
SEC to the Moon,6,Tennessee
SEC to the Moon,4,Arkansas
SEC to the Moon,5,Vanderbilt
SEC to the Moon,3,Illinois
SEC to the Moon,4,Nebraska
SEC to the Moon,4,Alabama
SEC to the Moon,5,St. John's
SEC to the Moon,3,Gonzaga
SEC to the Moon,6,Louisville
SEC to the Moon,3,Michigan St.
Crankin Hog,4,Arkansas
Crankin Hog,7,UCLA
Crankin Hog,9,Utah State
Crankin Hog,9,Iowa
Crankin Hog,10,Santa Clara
Crankin Hog,11,South Florida
Crankin Hog,11,VCU
Crankin Hog,12,Akron
Crankin Hog,13,Hofstra
Crankin Hog,13,Troy
Defender,5,St. John's
Defender,11,South Florida
Defender,3,Michigan St.
Defender,5,Vanderbilt
Defender,11,VCU
Defender,5,Wisconsin
Defender,4,Arkansas
Defender,10,Santa Clara
Defender,5,Texas Tech
Defender,7,UCLA
Jan-Feb-Izzo I,7,UCLA
Jan-Feb-Izzo I,11,South Florida
Jan-Feb-Izzo I,4,Arkansas
Jan-Feb-Izzo I,5,Vanderbilt
Jan-Feb-Izzo I,11,VCU
Jan-Feb-Izzo I,13,Hofstra
Jan-Feb-Izzo I,11,Texas
Jan-Feb-Izzo I,6,Tennessee
Jan-Feb-Izzo I,7,Kentucky
Jan-Feb-Izzo I,5,St. John's
Jan-Feb-Izzo II,10,UCF
Jan-Feb-Izzo II,6,North Carolina
Jan-Feb-Izzo II,6,Louisville
Jan-Feb-Izzo II,5,Texas Tech
Jan-Feb-Izzo II,5,Wisconsin
Jan-Feb-Izzo II,6,BYU
Jan-Feb-Izzo II,8,Georgia
Jan-Feb-Izzo II,10,Santa Clara
Jan-Feb-Izzo II,6,Tennessee
Jan-Feb-Izzo II,7,Miami (FL)
Jan-Feb-Izzo III,7,UCLA
Jan-Feb-Izzo III,10,Texas A&M
Jan-Feb-Izzo III,11,South Florida
Jan-Feb-Izzo III,12,Akron
Jan-Feb-Izzo III,11,VCU
Jan-Feb-Izzo III,13,Hofstra
Jan-Feb-Izzo III,13,Troy
Jan-Feb-Izzo III,10,Santa Clara
Jan-Feb-Izzo III,12,McNeese
Jan-Feb-Izzo III,9,Iowa
Ram,14,North Dakota St.
Ram,13,Hofstra
Ram,12,Akron
Ram,12,McNeese
Ram,11,South Florida
Ram,11,Texas
Ram,10,Texas A&M
Ram,10,UCF
Ram,9,Iowa
Ram,8,Georgia
Klayman/Greenes,8,Clemson
Klayman/Greenes,8,Georgia
Klayman/Greenes,9,Utah State
Klayman/Greenes,10,Missouri
Klayman/Greenes,10,UCF
Klayman/Greenes,11,Miami (OH)
Klayman/Greenes,11,Texas
Klayman/Greenes,11,South Florida
Klayman/Greenes,12,McNeese
Klayman/Greenes,14,Wright St.
NYC Fellas,13,Cal Baptist
NYC Fellas,12,Akron
NYC Fellas,12,McNeese
NYC Fellas,11,South Florida
NYC Fellas,11,VCU
NYC Fellas,10,Missouri
NYC Fellas,10,Texas A&M
NYC Fellas,10,Santa Clara
NYC Fellas,9,Utah State
NYC Fellas,6,Tennessee
Booze(r) Cruise,14,Penn
Booze(r) Cruise,7,Saint Mary's
Booze(r) Cruise,12,Akron
Booze(r) Cruise,13,Cal Baptist
Booze(r) Cruise,11,VCU
Booze(r) Cruise,7,Miami (FL)
Booze(r) Cruise,8,Ohio St.
Booze(r) Cruise,6,Tennessee
